step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
256,126016,2048,0.026053226889223336,1.0,1.0,,,,,,,,,
257,126600,2056,0.01712811173445833,1.0,1.0,0.018578793101745233,1.0,1.0,,,,,,
258,127120,2064,0.022212252313614768,1.0,1.0,,,,,,,,,
259,127576,2072,0.024515694556921746,1.0,1.0,,,,,,,,,
260,128160,2080,0.024254113733478702,1.0,1.0,,,,,,,,,
261,128552,2088,0.019857001181919107,1.0,1.0,,,,,,,,,
262,129136,2096,0.020828540378962947,1.0,1.0,,,,,,,,,
263,129656,2104,0.02037074470199314,0.875,0.9705882352941176,,,,,,,,,
264,130304,2112,0.015609378698529141,1.0,1.0,,,,,,,,,
265,130760,2120,0.028811738796472697,1.0,1.0,0.02007401317850938,1.0,1.0,,,,,,
266,131280,2128,0.016580778663063667,1.0,1.0,,,,,,,,,
267,131800,2136,0.026001207172917536,1.0,1.0,,,,,,,,,
268,132384,2144,0.019412773772097536,1.0,1.0,,,,,,,,,
269,132904,2152,0.022821151272080602,1.0,1.0,,,,,,,,,
270,133296,2160,0.024726143620839264,1.0,1.0,,,,,,,,,
271,133688,2168,0.025826936769658138,1.0,1.0,,,,,,,,,
272,134272,2176,0.01809631820224499,1.0,1.0,,,,,,,,,
273,134728,2184,0.024967749692630752,1.0,1.0,0.027680800992742234,1.0,1.0,,,,,,
274,135184,2192,0.027943740204471632,1.0,1.0,,,,,,,,,
275,135576,2200,0.02663135876589734,1.0,1.0,,,,,,,,,
276,136096,2208,0.02266903771170102,1.0,1.0,,,,,,,,,
277,136488,2216,0.024688328525022032,1.0,1.0,,,,,,,,,
278,137008,2224,0.02185168454094083,1.0,1.0,,,,,,,,,
279,137528,2232,0.021838924656729503,0.875,0.972972972972973,,,,,,,,,
280,138048,2240,0.025430591137418915,1.0,1.0,,,,,,,,,
281,138504,2248,0.03127508517854413,1.0,1.0,0.02265447147446524,1.0,1.0,,,,,,
282,138896,2256,0.0266748508888749,1.0,1.0,,,,,,,,,
283,139352,2264,0.023734808324183804,1.0,1.0,,,,,,,,,
284,139872,2272,0.025710037088441016,1.0,1.0,,,,,,,,,
285,140392,2280,0.019023067987413968,1.0,1.0,,,,,,,,,
286,140848,2288,0.019232029218146315,1.0,1.0,,,,,,,,,
287,141368,2296,0.02418229558695572,1.0,1.0,,,,,,,,,
288,141760,2304,0.02773264869345292,1.0,1.0,,,,,,,,,
289,142280,2312,0.019557199345094204,1.0,1.0,0.026019752972372807,1.0,1.0,,,,,,
290,142800,2320,0.023262833408542676,1.0,1.0,,,,,,,,,
291,143320,2328,0.019608792219795383,1.0,1.0,,,,,,,,,
292,143776,2336,0.020839731683063138,1.0,1.0,,,,,,,,,
293,144296,2344,0.02208619130702192,0.875,0.972972972972973,,,,,,,,,
294,144752,2352,0.028249701340171608,1.0,1.0,,,,,,,,,
295,145272,2360,0.02123008807278351,1.0,1.0,,,,,,,,,
296,145728,2368,0.02726906792715947,1.0,1.0,,,,,,,,,
297,146376,2376,0.02137131695976551,0.875,0.9736842105263158,0.02512355201158509,1.0,1.0,,,,,,
298,146768,2384,0.028298043317274108,1.0,1.0,,,,,,,,,
299,147224,2392,0.023858083566446798,1.0,1.0,,,,,,,,,
300,147616,2400,0.02659877350059638,1.0,1.0,,,,,,,,,
301,148136,2408,0.022369365246565114,1.0,1.0,,,,,,,,,
302,148656,2416,0.019209157932934373,1.0,1.0,,,,,,,,,
303,149048,2424,0.021910703286167798,0.75,0.9411764705882353,,,,,,,,,
304,149568,2432,0.022821273852501434,1.0,1.0,,,,,,,,,
305,150152,2440,0.021338611450675966,1.0,1.0,0.020295043637538198,1.0,1.0,,,,,,
306,150608,2448,0.02819666982566008,1.0,1.0,,,,,,,,,
307,151064,2456,0.02327489679199393,1.0,1.0,,,,,,,,,
308,151520,2464,0.02092273522857357,0.875,0.9714285714285714,,,,,,,,,
309,152040,2472,0.017820725093439453,1.0,1.0,,,,,,,,,
310,152496,2480,0.024091021720526486,1.0,1.0,,,,,,,,,
311,152952,2488,0.02524847128620866,1.0,1.0,,,,,,,,,
312,153472,2496,0.017431838141782875,1.0,1.0,,,,,,,,,
313,154056,2504,0.019824191964845205,1.0,1.0,0.030660656048037194,1.0,1.0,,,,,,
314,154576,2512,0.015052317948304068,1.0,1.0,,,,,,,,,
315,155032,2520,0.02179954610765745,1.0,1.0,,,,,,,,,
316,155424,2528,0.02734168950098222,1.0,1.0,,,,,,,,,
317,155944,2536,0.022273870718794817,1.0,1.0,,,,,,,,,
318,156400,2544,0.02085952890227662,0.875,0.9705882352941176,,,,,,,,,
319,156984,2552,0.01912346832014376,1.0,1.0,,,,,,,,,
320,157440,2560,0.026826534024193178,1.0,1.0,,,,,,,,,
321,157960,2568,0.015114859248974348,1.0,1.0,0.022335385207467494,1.0,1.0,,,,,,
322,158544,2576,0.02013078894894456,1.0,1.0,,,,,,,,,
323,159128,2584,0.02147033770545805,1.0,1.0,,,,,,,,,
324,159712,2592,0.018914897733356983,1.0,1.0,,,,,,,,,
325,160232,2600,0.025331852740166742,1.0,1.0,,,,,,,,,
326,160752,2608,0.020828037039365397,1.0,1.0,,,,,,,,,
327,161272,2616,0.024682227678943656,1.0,1.0,,,,,,,,,
328,161792,2624,0.025899304756533112,1.0,1.0,,,,,,,,,
329,162184,2632,0.024398700561334,1.0,1.0,0.018481073968007942,1.0,1.0,,,,,,
330,162704,2640,0.026719821505177453,1.0,1.0,,,,,,,,,
331,163224,2648,0.025366568117305182,1.0,1.0,,,,,,,,,
332,163680,2656,0.03470164812285524,0.75,0.9411764705882353,,,,,,,,,
333,164264,2664,0.01739860153386617,1.0,1.0,,,,,,,,,
334,164720,2672,0.024798236391065227,1.0,1.0,,,,,,,,,
335,165176,2680,0.02708960155066048,1.0,1.0,,,,,,,,,
336,165760,2688,0.02334236118439036,1.0,1.0,,,,,,,,,
337,166344,2696,0.024437384051780534,1.0,1.0,0.03056086477019196,1.0,1.0,,,,,,
338,166800,2704,0.027079461201711123,1.0,1.0,,,,,,,,,
339,167256,2712,0.029025326502535604,1.0,1.0,,,,,,,,,
340,167712,2720,0.027823881420608987,1.0,1.0,,,,,,,,,
341,168168,2728,0.02465429958464214,1.0,1.0,,,,,,,,,
342,168688,2736,0.023650051245813923,1.0,1.0,,,,,,,,,
343,169144,2744,0.02375297354188468,0.875,0.9736842105263158,,,,,,,,,
344,169536,2752,0.026401651310485556,1.0,1.0,,,,,,,,,
345,169992,2760,0.027345161040602167,1.0,1.0,0.018048319664128773,1.0,1.0,,,,,,
346,170448,2768,0.03130337288302186,1.0,1.0,,,,,,,,,
347,170840,2776,0.026229829139370813,1.0,1.0,,,,,,,,,
348,171296,2784,0.020751270122756682,0.875,0.972972972972973,,,,,,,,,
349,171752,2792,0.03212277652816637,1.0,1.0,,,,,,,,,
350,172208,2800,0.023851798739512133,1.0,1.0,,,,,,,,,
351,172664,2808,0.0209528991521396,1.0,1.0,,,,,,,,,
